name,latitude,longitude,designation,states,description,activities,amenities
Aleutian Islands World War II National Historic Area,53.9143,-166.5197,National Historic Area,AK,"The remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested Pacific battleground in World War II. Some Unangax̂ were taken from their homelands as Japanese prisoners of war while the others were evacuated from the islands by the government. Both groups suffered greatly during the war, and some would never return to their villages.","Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits",Scenic View/Photo Spot
Alibates Flint Quarries National Monument,35.5819662,-101.6717008,National Monument,TX,"13,000 years ago, Alibates was used by mammoth hunters as a source of flint for tools. The colorful flint has never lost its value or usefulness in the Texas Panhandle. Learn how important this site was to the survival, commerce, and culture of the people of the High Plains.","Arts and Culture, Craft Demonstrations, Camping, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits",Assistive Listening Systems
Allegheny Portage Railroad National Historic Site,40.42977467,-78.57431622,National Historic Site,PA,"The first railroad to cross the Allegheny Mountains, the Allegheny Portage Railroad was the final piece of the Pennsylvania Main Line Canal. ""The Portage"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.","Arts and Culture, Cultural Demonstrations, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Amache National Historic Site,38.04962,-102.32903,National Historic Site,CO,"Amache, also known as the Granada Relocation Center, near Granada, Colorado was one of ten incarceration sites established by the War Relocation Authority during World War II to unjustly incarcerate Japanese Americans. Over 10,000 people, most American citizens, were incarcerated at Amache from 1942 to 1945.","Guided Tours, Self-Guided Tours - Auto",Benches/Seating
American Memorial Park,15.21680033,145.7231096,Park,MP,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.","Arts and Culture, Theater, Biking, Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",
Amistad National Recreation Area,29.53539777,-101.075821,National Recreation Area,TX,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, a Spanish word meaning ""friendship,"" is known for excellent water-based recreation, camping, hiking, and rich cultural history dating back nearly 5,000 years. Amistad is also home to a wide variety of plant and animal life both above and below the water.","Boating, Motorized Boating, Sailing, Jet Skiing, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Freshwater Fishing, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, SCUBA Diving, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",Amphitheater
Anacostia Park,38.8782,-76.9703,Park,DC,"Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.","Biking, Road Biking, Boating, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Paddling, Canoeing, Kayaking, Playground, Team Sports, Wildlife Watching",Benches/Seating
Andersonville National Historic Site,32.19831758,-84.12988898,National Historic Site,GA,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.","Auto and ATV, Scenic Driving, Camping, Group Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Cellular Signal
Andrew Johnson National Historic Site,36.15624509,-82.83709021,National Historic Site,TN,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.","Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits",Audio Description
Aniakchak National Monument & Preserve,56.85317675,-157.5544362,National Monument & Preserve,AK,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.","Camping, Backcountry Camping, Climbing, Mountain Climbing, Flying, Hiking, Backcountry Hiking, Paddling, Whitewater Rafting, Wildlife Watching, Birdwatching",Scenic View/Photo Spot
Antietam National Battlefield,39.46763452,-77.73828017,National Battlefield,MD,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.","Biking, Road Biking, Camping, Group Camping, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Benches/Seating
Apostle Islands National Lakeshore,46.96240467,-90.66045665,National Lakeshore,WI,"Apostle Islands National Lakeshore, located at the northern tip of Wisconsin's Bayfield Peninsula, features 21 stunning islands, a scenic 12-mile shoreline along Lake Superior, and is located within the ancestral homeland of the Ojibwe people. Established in 1970, the park showcases picturesque sea caves, sandy beaches, and the largest collection of lighthouses in the National Park system.","Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, Fishing, Freshwater Fishing, Guided Tours, Boat Tour, Hiking, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, SCUBA Diving, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Sites
Appalachian National Scenic Trail,40.41029575,-76.4337548,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV","The Appalachian Trail is a 2,190+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.","Astronomy, Stargazing, Camping, Backcountry Camping, Compass and GPS, Orienteering, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Snowshoeing, Wildlife Watching, Birdwatching",Benches/Seating
Appomattox Court House National Historical Park,37.38022164,-78.79856982,National Historical Park,VA,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the effective end of the nation's largest war. Questions remained: could the nation reunite as one? How would emancipation be realized?","Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Food, Picnicking, Guided Tours, Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Benches/Seating
Arches National Park,38.72261844,-109.5863666,National Park,UT,"Discover a landscape of contrasting colors, land forms, and textures unlike any other. The park has over 2,000 natural stone arches, hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.","Arts and Culture, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Canyoneering, Climbing, Rock Climbing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Shopping, Bookstore and Park Store",Bicycle - Rack
Arkansas Post National Memorial,34.00389998,-91.30837178,National Memorial,AR,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.","Arts and Culture, Cultural Demonstrations, Boating, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",
"Arlington House, The Robert E. Lee Memorial",38.8822021484,-77.0734786987,,VA,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.","Guided Tours, Self-Guided Tours - Walking, Museum Exhibits",Braille
Assateague Island National Seashore,38.05593172,-75.24524611,National Seashore,"MD,VA","Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.","Arts and Culture, Auto and ATV, Auto Off-Roading, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Compass and GPS, Geocaching, Fishing, Saltwater Fishing, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",Accessible Sites
Aztec Ruins National Monument,36.83682216,-107.9999245,National Monument,NM,"Aztec Ruins has some of the best-preserved Chacoan structures of its kind. Learn more about the ancestral Pueblo people in the park's museum and explore the Aztec West great house to see exceptionally advanced architecture, original wooden beams, and a restored Great Kiva. Aztec Ruins is a deeply sacred place to many Indigenous peoples across the American Southwest. Please visit with respect.","Arts and Culture, Cultural Demonstrations, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Cellular Signal
Badlands National Park,43.68584846,-102.482942,National Park,SD,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.","Auto and ATV, Scenic Driving, Astronomy, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Compass and GPS, Food, Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",ATM/Cash Machine
Baltimore-Washington Parkway,39.02604289,-76.85410921,Parkway,MD,"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.","Auto and ATV, Scenic Driving",
Bandelier National Monument,35.77898596,-106.3317124,National Monument,NM,"Bandelier National Monument protects over 33,000 acres of ruggedly beautiful canyon and mesa country. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Belmont-Paul Women's Equality National Monument,38.89231541,-77.00381882,National Monument,DC,"Home to the National Woman's Party for more than 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.","Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Gifts/Souvenirs/Books
Bent's Old Fort National Historic Site,38.03977546,-103.4266499,National Historic Site,CO,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Rooms
Bering Land Bridge National Preserve,65.96087902,-164.4086432,National Preserve,AK,Bering Land Bridge National Preserve lies at the continental crossroad that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for Indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,"Camping, Backcountry Camping, Dog Sledding, Flying, Fixed Wing Flying, Hiking, Backcountry Hiking, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Snowmobiling, Wildlife Watching, Birdwatching",Animal-Safe Food Storage
Big Bend National Park,29.29817767,-103.2297897,National Park,TX,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and species diversity is the best in the country. This magical place is Big Bend...","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",ATM/Cash Machine
Big Cypress National Preserve,25.97079602,-81.08120629,National Preserve,FL,"The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Conserving over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to diverse wildlife, including the Endangered Florida panther.","Arts and Culture, Cultural Demonstrations, Auto and ATV, ATV Off-Roading, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Big Hole National Battlefield,45.64647324,-113.6458443,National Battlefield,MT,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.","Arts and Culture, Cultural Demonstrations, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Accessible Sites
Big South Fork National River & Recreation Area,36.5348388,-84.66506688,National River & Recreation Area,"KY,TN","Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.","Arts and Culture, Astronomy, Stargazing, Biking, Mountain Biking, Boating, Camping, Backcountry Camping, Horse Camping (see also Horse/Stock Use), RV Camping, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Food, Picnicking, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Junior Ranger Program, Tubing, Swimming, Pool Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",
Big Thicket National Preserve,30.457983431,-94.386742115,National Preserve,TX,"Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats meet in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.","Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Food, Picnicking, Hands-On, Citizen Science, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",Beach/Water Access
Bighorn Canyon National Recreation Area,45.13154227,-108.1443943,National Recreation Area,"MT,WY","The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore.","Arts and Culture, Theater, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Motorized Boating, Sailing, Jet Skiing, Boat Tour, Camping, Compass and GPS, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store",Accessible Rooms
Birmingham Civil Rights National Monument,33.5154266357,-86.814666748,National Monument,AL,"In 1963, images of snarling police dogs unleashed against non-violent protesters and of children being sprayed with high-pressure hoses appeared in print and television news around the world. These dramatic scenes of violent police aggression against civil rights protesters in Birmingham, Alabama were vivid examples of segregation and racial injustice in America.","Guided Tours, Self-Guided Tours - Walking, Museum Exhibits",Accessible Sites
Biscayne National Park,25.490587,-80.21023851,National Park,FL,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery.","Boating, Motorized Boating, Sailing, Boat Tour, Camping, Fishing, Guided Tours, Boat Tour, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs",
Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756,National Park,CO,"Big enough to be overwhelming, yet still intimate enough to feel the pulse of time. Come see some of the steepest cliffs, oldest rock, and craggiest spires in North America. Forces of nature and the Gunnison River sculpted this canyon over two million years. The result is a vertical wilderness of rock, water, and sky.","Astronomy, Stargazing, Camping, Backcountry Camping, Car or Front Country Camping, RV Camping, Climbing, Rock Climbing, Fishing, Fly Fishing, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store",Accessible Sites
Blackstone River Valley National Historical Park,41.8775792792,-71.382433945,National Historical Park,"RI,MA","The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived. Learn how this revolution transformed the landscape of the Blackstone Valley and the United States. The Visitor Center at Old Slater Mill is currently open Thursday-Sunday, 10-4.","Biking, Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching",Accessible Rooms
Blackwell School National Historic Site,,,National Historic Site,TX,"Written by prejudice rather than law, the story of the Blackwell School is one of “separate but equal” education for Mexican and Mexican American citizens of Marfa, Texas. Built in 1909, the school serves as a significant example of how racism and cultural disparity dominated education and social systems in the United States during this period of de facto segregation from 1889-1965.",,
